P,A
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
9.628851541,36.32703081
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
17.35381653,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
