totalAgents,age,atsi,disability,essentialCount,workerCount,phase,subphase,spanMult,gatherFreqMult,region,succeptibleMult,asymptomPropMult,vaccinatedCount,doseProgressMin,doesProgressMax,ignoreUptakeBoost,studentCount,vaccineType,vaccineBranch,comment,vaccineUptakeTarget
82,85,0,0,0,12,1,1,1,1,1,1,1,62,0,2.147,0,0,AZ,A,80-89,0.92
20,95,0,0,0,3,1,1,1,1,1,1,1,17,0,2.8363,0,0,AZ,A,90+,0.92
1,55,1,0,0,1,1,1,1,1,1,1,1,0,0,1.35675,0,0,AZ,A,ATSI 55-60,0.755
4,65,1,0,0,1,1,1,1,1,1,1,1,3,0,1.43715,0,0,AZ,A,ATSI 60-69,0.92
15,55,0,1,0,9,2,1,1,1,1,1,1,7,0,1.35675,0,0,AZ,A,50-59 with morbidity or disability,0.755
256,65,0,0,0,60,2,1,1,1,1,1,1,182,0,1.43715,0,0,AZ,A,60-69,0.92
31,65,0,1,0,7,2,1,1,1,1,1,1,22,0,1.43715,0,0,AZ,A,60-69 with morbidity or disability,0.92
180,75,0,0,0,23,2,1,1,1,1,1,1,145,0,2.0114,0,0,AZ,A,70-79,0.92
120,55,0,0,0,75,3,1,1,1,1,1,1,61,0,1.35675,0,0,AZ,A,50-59,0.755
124,55,0,0,0,72,1,1,1,1,1,1,1,88,0,1.35675,0,0,Pfizer,P,50-59,0.755
52,25,0,0,52,52,1,1,1,1,1,1,1,21,0,11.24475,0,0,Pfizer,P,Top essential workers,0.755
38,35,0,0,38,38,1,1,1,1,1,1,1,16,0,11.24475,0,0,Pfizer,P,Top essential workers,0.755
43,45,0,0,43,43,1,1,1,1,1,1,1,17,0,11.24475,0,0,Pfizer,P,Top essential workers,0.755
44,25,0,1,0,35,2,1,1,1,1,1,1,5,0,7.9266,0,0,Pfizer,P,18-29 with morbidity or disability,0.755
43,35,0,1,0,34,2,1,1,1,1,1,1,7,0,8.1668,0,0,Pfizer,P,30-39 with morbidity or disability,0.755
37,45,0,1,0,29,2,1,1,1,1,1,1,10,0,8.206833333,0,0,Pfizer,P,40-49 with morbidity or disability,0.755
19,55,0,1,0,11,2,1,1,1,1,1,1,13,0,1.35675,0,0,Pfizer,P,50-59 with morbidity or disability,0.755
158,25,0,0,0,121,3,1,1,1,1,1,1,0,0,7.9266,0,0,Pfizer,P,18-30,0.755
142,35,0,0,0,110,3,1,1,1,1,1,1,0,0,8.1668,0,0,Pfizer,P,30-39,0.755
138,45,0,0,0,118,3,1,1,1,1,1,1,22,0,8.206833333,0,0,Pfizer,P,40-49,0.755
34,25,0,0,34,34,3,1,1,1,1,1,1,5,0,11.60966667,0,0,Pfizer,P,Other critical workers,0.755
31,35,0,0,31,31,3,1,1,1,1,1,1,5,0,11.60966667,0,0,Pfizer,P,Other critical workers,0.755
15,45,0,0,15,15,3,1,1,1,1,1,1,2,0,11.60966667,0,0,Pfizer,P,Other critical workers,0.755
12,55,0,0,12,12,3,1,1,1,1,1,1,3,0,2.2713,0,0,Pfizer,P,Other critical workers,0.755
165,5,0,0,0,0,5,1,1,1,1,1,2,0,0,4.003333333,0,198,Pfizer,P,ages 0-4,0.8
222,15,0,0,0,60,4,1,1,1,1,1,2,10,0,4.163466667,0,200,Pfizer,P,ages 10-17,0.8
165,5,0,0,0,0,4,1,1,1,1,1,2,0,0,4.003333333,0,198,Pfizer,P,ages 5-9,0.8
41,55,0,0,0,24,1,1,1,1,1,1,1,0,0,1.35,0,0,AZ,A,50-59,0.755
17,25,0,0,17,17,1,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Top essential workers,0.755
13,35,0,0,13,13,1,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Top essential workers,0.755
15,45,0,0,15,15,1,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Top essential workers,0.755
15,25,0,1,0,12,2,1,1,1,1,1,1,0,0,1.98,0,0,AZ,A,18-29 with morbidity or disability,0.755
14,35,0,1,0,11,2,1,1,1,1,1,1,0,0,2.04,0,0,AZ,A,30-39 with morbidity or disability,0.755
12,45,0,1,0,10,2,1,1,1,1,1,1,0,0,2.05,0,0,AZ,A,40-49 with morbidity or disability,0.755
6,55,0,1,0,4,2,1,1,1,1,1,1,0,0,1.35,0,0,AZ,A,50-59 with morbidity or disability,0.755
53,25,0,0,0,40,3,1,1,1,1,1,1,0,0,1.98,0,0,AZ,A,18-30,0.755
47,35,0,0,0,37,3,1,1,1,1,1,1,0,0,2.04,0,0,AZ,A,30-39,0.755
46,45,0,0,0,39,3,1,1,1,1,1,1,0,0,2.05,0,0,AZ,A,40-49,0.755
11,25,0,0,11,11,3,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Other critical workers,0.755
10,35,0,0,10,10,3,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Other critical workers,0.755
5,45,0,0,5,5,3,1,1,1,1,1,1,0,0,2.9,0,0,AZ,A,Other critical workers,0.755
4,55,0,0,4,4,3,1,1,1,1,1,1,0,0,2.26,0,0,AZ,A,Other critical workers,0.755